id,youtube_url,video_title,channel,thumbnail_url,confidence
st_20422,https://www.youtube.com/watch?v=mCeMgl6rR-U,"EP1-07 ""날 어떻게 불러낸 거야?"" 처음으로 공유를 불러낸 김고은 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/mCeMgl6rR-U/hqdefault.jpg,high
st_20425,https://www.youtube.com/watch?v=IM3n3Feslrg,"EP16-01 ""쓸쓸한 남자의 신부가 될게요"" 공유의 청혼에 답하는 김고은 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/IM3n3Feslrg/hqdefault.jpg,high
st_20427,https://www.youtube.com/watch?v=5Kw_m-Xk3DE,[#도깨비] 3화 11분 만에 몰아보기(저승이와 써니의 첫 만남),tvN D ENT,https://i.ytimg.com/vi/5Kw_m-Xk3DE/hqdefault.jpg,mid
st_20434,https://www.youtube.com/watch?v=bl2ipQ-ahVg,[#뒹글투어] 강릉 랜선 여행🌊 순두부 맛집 / 도깨비 촬영지 인증샷 / 중앙시장 칼국수 | #디글,디글 :Diggle,https://i.ytimg.com/vi/bl2ipQ-ahVg/hqdefault.jpg,mid
st_04127,https://www.youtube.com/watch?v=2y7XZ3wwCM8,홍해인 절대 지켜..🔥 아내에게 달린 악플에 냅다 가던 길 멈추고 돌아오는 지독한 아내 사랑꾼 백현우ㅋㅋㅋ | #산지직송,디글 클래식 :Diggle Classic,https://i.ytimg.com/vi/2y7XZ3wwCM8/hqdefault.jpg,high
st_04129,https://www.youtube.com/watch?v=2_Gq82Q2j2k,주인을 되찾은 퀸즈그룹✨ 최악의 빌런 모슬희의 몰락🙃 #눈물의여왕 EP.16,tvN DRAMA,https://i.ytimg.com/vi/2_Gq82Q2j2k/hqdefault.jpg,high
st_04138,https://www.youtube.com/watch?v=6w06fWTikb0,"퀸즈 그룹 회장이 된 윤은성에게 이직 선언 돌직구 날린 법무팀장 백현우🔥 ""더 이상 속이지 않겠습니다"" | #이시간핫클립",tvN DRAMA,https://i.ytimg.com/vi/6w06fWTikb0/hqdefault.jpg,mid
st_04139,https://www.youtube.com/watch?v=YVm0Oml8yLI,윤은성이 원하는 대로 되도록 그리 쉽게 둘리 없는 퀸즈그룹 여왕님ㄷㄷ 기자회견에서 협박 사실 폭로한 홍해인 | #이시간핫클립,tvN DRAMA,https://i.ytimg.com/vi/YVm0Oml8yLI/hqdefault.jpg,high
st_04142,https://www.youtube.com/watch?v=a5WcGhgMwgs,"김지원, 김수현 최애 국밥집에서 우연히 듣게 된 남편의 진심 #눈물의여왕 EP.8 | tvN 240331 방송",tvN DRAMA,https://i.ytimg.com/vi/a5WcGhgMwgs/hqdefault.jpg,high
st_04146,https://www.youtube.com/watch?v=oSOBCdWuGX8,"배트 좀 휘두를 줄 아는 김지원, 코인 야구장에서 적성 찾다? #눈물의여왕 EP.8 | tvN 240331 방송",tvN DRAMA,https://i.ytimg.com/vi/oSOBCdWuGX8/hqdefault.jpg,high
st_04151,https://www.youtube.com/watch?v=W_TmTcOwphM,[메이킹] 회식부터 🌿까지ㅠㅠ 설렘+감동 다 있는 백홍달콩 10화 에필로그 비하인드 #눈물의여왕 EP.10,tvN DRAMA,https://i.ytimg.com/vi/W_TmTcOwphM/hqdefault.jpg,mid
st_04152,https://www.youtube.com/watch?v=RewW6fgM-M8,"""당신 술 마시면 너무 귀엽다고!!"" 다른 여자들 앞에서 귀엽지 말라고 남친 백현우에게 경고 날린 여친시절 홍해인💗 | #이시간핫클립",tvN DRAMA,https://i.ytimg.com/vi/RewW6fgM-M8/hqdefault.jpg,high
st_04160,https://www.youtube.com/watch?v=1jsWWjA3fMc,[에필로그] 김수현x김지원 결혼식 비디오에 담긴 서로를 향한 진심! #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/1jsWWjA3fMc/hqdefault.jpg,high
st_04163,https://www.youtube.com/watch?v=u4-VZFdSkc4,[#눈물의여왕 13화] 9천억이 왜 여기서 나와...?🌸 모슬희VS퀸즈가💥 홍만대 회장이 평생 악착같이 모은 돈의 주인은!?,디글 :Diggle,https://i.ytimg.com/vi/u4-VZFdSkc4/hqdefault.jpg,mid
st_04166,https://www.youtube.com/watch?v=cNvqKSUBBjY,[#눈물의여왕 5화] 재벌 3세 김지원 형편 어려운 줄 알고 돈 봉투 던진 시누이ㅋㅋㅋ 누나 단속하는 김수현과 액수 적다고 걱정하지 말라는 김지원의 티키타카😎,디글 :Diggle,https://i.ytimg.com/vi/cNvqKSUBBjY/hqdefault.jpg,high
st_04167,https://www.youtube.com/watch?v=AfCQDfC1fQU,"홍범자에게 솔직 고백 던진 순박한 용두리 총각 영송, 모쏠 탈출↖︎ #눈물의여왕 EP.16 | tvN 240428 방송",tvN DRAMA,https://i.ytimg.com/vi/AfCQDfC1fQU/hqdefault.jpg,mid
st_04168,https://www.youtube.com/watch?v=eOaeiEWD59E,"혼수상태에서 깨어난 홍만대, 통째로 잃어버린 기억?! #눈물의여왕 EP.11 | tvN 240413 방송",tvN DRAMA,https://i.ytimg.com/vi/eOaeiEWD59E/hqdefault.jpg,mid
st_04173,https://www.youtube.com/watch?v=97vMCFiQBQM,"김수현, 수상한 현금다발과 꽃다발의 행선지는 남모를 선행?! #눈물의여왕 EP.7 | tvN 240330 방송",tvN DRAMA,https://i.ytimg.com/vi/97vMCFiQBQM/hqdefault.jpg,high
st_04176,https://www.youtube.com/watch?v=Fui2pwI0ccY,"퀸즈家, 홍만대가 숨겨놓은 비자금 9천억 찾기 위해 위장잠입 출동→ #눈물의여왕 EP.11 | tvN 240413 방송",tvN DRAMA,https://i.ytimg.com/vi/Fui2pwI0ccY/hqdefault.jpg,mid
