id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated,audience_acc
mv_0045,평화의 시대,Age Of Peace,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000066,2026-07-28,
mv_0046,흑우,Black Rain,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000014,2026-07-28,
mv_0047,해변으로가다,Bloody Beach,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000001,2026-07-28,
mv_0048,학교전설,Spooky School,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990051,2026-07-28,
mv_0049,침향,Scent Of Love,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990061,2026-07-28,
mv_0050,구멍,Black Hole,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990058,2026-07-28,
mv_0051,하피,Harpy,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000039,2026-07-28,
mv_0052,하면 된다,Just Do It,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000041,2026-07-28,
mv_0053,찍히면 죽는다,Record,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000004,2026-07-28,
mv_0054,주노명 베이커리,"Chu Noh-Myoung Bakery, The Wife In Romanc",movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000031,2026-07-28,
mv_0055,자카르타,Jakarta,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000051,2026-07-28,
mv_0056,이프,If,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000007,2026-07-28,
mv_0057,싸이렌,The Siren,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000042,2026-07-28,
mv_0058,실제상황,Real Fiction,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000012,2026-07-28,
mv_0059,신혼여행(身魂旅行),Black Honeymoon,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000027,2026-07-28,
mv_0060,봉자,Bongja,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000054,2026-07-28,
mv_0061,미인(美人),La Belle,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000002,2026-07-28,
mv_0062,단적비연수,The Legend Of Gingko,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000043,2026-07-28,1500000
mv_0063,나비,Nabi-The Butterfly,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010094,2026-07-28,
mv_0064,흑수선,The Last Witness,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010011,2026-07-28,
mv_0065,나도 아내가 있었으면 좋겠다,I Wish I Had a Wife,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000046,2026-07-28,
mv_0066,꽃섬,Flower Island,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010003,2026-07-28,
mv_0067,파이란,Failan,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010036,2026-07-28,
mv_0068,신라의 달밤,Kick The Moon,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010027,2026-07-28,4350000
mv_0069,친구,Friend,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010040,2026-07-28,8180000
mv_0070,달마야 놀자,"Hi, Dharma",movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010010,2026-07-28,3760000
mv_0071,고양이를 부탁해,Take Care of My Cat,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010007,2026-07-28,
mv_0072,번지점프를 하다,Bungee Jumping Of Their Own,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010047,2026-07-28,
mv_0073,선물,Last Present,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010038,2026-07-28,
mv_0074,부킹쏘나타,Booking Sonata,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010023,2026-07-28,
mv_0075,무사,Musa-The Warrior,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010017,2026-07-28,2010000
mv_0076,와이키키 브라더스,Waikiki Brothers,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010037,2026-07-28,
mv_0077,엽기적인 그녀,My Sassy Girl,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010020,2026-07-28,4870000
mv_0078,고추 말리기,Making Sun-dried Red Peppers,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010050,2026-07-28,
mv_0079,봄날은 간다,One Fine Spring Day,movie,,오죽헌,명소,강원도 강릉시 율곡로3139번길 24,37.7775069,128.877159,,https://map.naver.com/p/search/%EC%98%A4%EC%A3%BD%ED%97%8C,"봄날은 간다에서 이영애, 유지태가 간 유적지",assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0080,봄날은 간다,One Fine Spring Day,movie,,삼본아파트 (봄날은 간다),명소,강원도 동해시 해맞이길 231,37.559275,129.115127,,https://map.naver.com/p/search/%EC%82%BC%EB%B3%B8%EC%95%84%ED%8C%8C%ED%8A%B8%20%28%EB%B4%84%EB%82%A0%EC%9D%80%20%EA%B0%84%EB%8B%A4%29,봄날은 간다에서 이영애가 살던 집,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0081,봄날은 간다,One Fine Spring Day,movie,,맹방해수욕장,명소,강원도 삼척시 근덕면 맹방해변로,37.38928,129.2341,,https://map.naver.com/p/search/%EB%A7%B9%EB%B0%A9%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5,"봄날은 간다에서 이영애, 유지태가 간 바다",assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0082,봄날은 간다,One Fine Spring Day,movie,,신흥사,명소,강원도 삼척시 근덕면 양리길 220,37.323655,129.205213,,https://map.naver.com/p/search/%EC%8B%A0%ED%9D%A5%EC%82%AC,"봄날은 간다에서 이영애, 유지태가 머문 절",assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0083,봄날은 간다,One Fine Spring Day,movie,,오크밸리 리조트,호텔/숙박,강원도 원주시 지정면 오크밸리1길 66,37.434485,127.817496,,https://map.naver.com/p/search/%EC%98%A4%ED%81%AC%EB%B0%B8%EB%A6%AC%20%EB%A6%AC%EC%A1%B0%ED%8A%B8,봄날은 간다에서 이영애가 놀러 갔던 리조트,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0084,봄날은 간다,One Fine Spring Day,movie,,유평2리 보호수마을,명소,강원도 정선군 남면 유평리 251,37.284861,128.750885,,https://map.naver.com/p/search/%EC%9C%A0%ED%8F%892%EB%A6%AC%20%EB%B3%B4%ED%98%B8%EC%88%98%EB%A7%88%EC%9D%84,"봄날은 간다에서 이영애, 유지태가 간 마을",assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0085,봄날은 간다,One Fine Spring Day,movie,,아우라지,명소,강원도 정선군 여량면 아우라지길 69,37.475794,128.724173,,https://map.naver.com/p/search/%EC%95%84%EC%9A%B0%EB%9D%BC%EC%A7%80,"봄날은 간다에서 이영애, 유지태가 간 강",assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0086,화산고,Volcano High,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010006,2026-07-28,1700000
mv_0087,수취인불명,Address Unknown,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010031,2026-07-28,
mv_0088,하루,A Day,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010051,2026-07-28,
mv_0089,인디안 썸머,Indian Summer,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010035,2026-07-28,
mv_0090,라이방,Ray Ban,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010029,2026-07-28,
mv_0091,눈물,Tears,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000037,2026-07-28,
mv_0092,두사부일체,"My Boss, My Hero",movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010052,2026-07-28,3500000
mv_0093,조폭마누라,My Wife Is a Gangster,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010014,2026-07-28,5250000
mv_0094,소름,Gooseflesh,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010034,2026-07-28,
mv_0095,킬러들의 수다,Guns And Talks,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010015,2026-07-28,2230000
mv_0096,교도소 월드컵,Prison World Cup,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010024,2026-07-28,
mv_0097,그녀에게 잠들다,Love Her,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010041,2026-07-28,
mv_0098,광시곡,The Rhapsody,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010046,2026-07-28,
mv_0099,게임오버,Game Over,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010018,2026-07-28,
mv_0100,건달의 법칙,The Rules Of The Underworld,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010025,2026-07-28,
mv_0101,고해,A Tearful Story,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000052,2026-07-28,
mv_0102,별주부 해로,Turtle Hero,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010049,2026-07-28,
mv_0103,7인의 새벽,Running Seven Dogs,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010048,2026-07-28,
mv_0104,노랑머리 2,Running Blue 2 (Yellow Hair 2),movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010021,2026-07-28,
mv_0105,클럽 버터플라이,Club Butterfly,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010039,2026-07-28,
mv_0106,런딤,Run=Dim,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010008,2026-07-28,
mv_0107,GO(고),Go,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010009,2026-07-28,
mv_0108,와니와 준하,Wanee And Junah,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010004,2026-07-28,
mv_0109,더 킹,The King,movie,,진해 경화반점,음식점,경상남도 창원시 진해구 경화로7번길 11-1,35.153937,128.685116,,https://map.naver.com/p/search/%EC%A7%84%ED%95%B4%20%EA%B2%BD%ED%99%94%EB%B0%98%EC%A0%90,조인성이 뛰어가는 장면에 나온 식당,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0110,더 킹,The King,movie,,임랑 해수욕장,명소,부산 기장군 장안읍 임랑리 임랑 해수욕장,35.318663,129.264348,,https://map.naver.com/p/search/%EC%9E%84%EB%9E%91%20%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5,더킹에서 조인성이 좌천되어 지낸 별장,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0111,더 킹,The King,movie,,길천방파제,명소,부산광역시 기장군 장안읍 길천리,35.324852,129.284516,,https://map.naver.com/p/search/%EA%B8%B8%EC%B2%9C%EB%B0%A9%ED%8C%8C%EC%A0%9C,더킹에서 류준열과 조인성이 대화를 나눈 곳,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0112,더 킹,The King,movie,,보수동 책방 골목,명소,부산광역시 중구 대청로 67-1,35.10332,129.026803,,https://map.naver.com/p/search/%EB%B3%B4%EC%88%98%EB%8F%99%20%EC%B1%85%EB%B0%A9%20%EA%B3%A8%EB%AA%A9,영화 초반 조인성이 뛰어다니는 시장 골목,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0113,더 킹,The King,movie,,울프강 스테이크 하우스,음식점,서울특별시 강남구 선릉로152길 21,37.5244835,127.041441,,https://map.naver.com/p/search/%EC%9A%B8%ED%94%84%EA%B0%95%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%20%ED%95%98%EC%9A%B0%EC%8A%A4,정우성과 조인성이 스테이크를 먹은 곳,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0114,더 킹,The King,movie,,이화여자대학교,명소,서울특별시 서대문구 이화여대길 52,37.561149,126.946433,,https://map.naver.com/p/search/%EC%9D%B4%ED%99%94%EC%97%AC%EC%9E%90%EB%8C%80%ED%95%99%EA%B5%90,조인성이 더킹에서 다짐을 하며 걸은 곳,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,
mv_0115,천사몽,Dream Of Warrior,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010043,2026-07-28,
mv_0116,2001용가리,2001 Yonggary,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000048,2026-07-28,
mv_0117,파라다이스빌라,Paradise Villa,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000053,2026-07-28,
mv_0118,잎새,The Scent Of Love,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010028,2026-07-28,
mv_0119,베사메무쵸,Besa Me Mucho,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010022,2026-07-28,
mv_0120,아이 러브 유,Love You,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010019,2026-07-28,
mv_0121,세이예스,Say Yes,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010016,2026-07-28,
mv_0122,썸머 타임,Summer Time,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010044,2026-07-28,
mv_0123,휴머니스트,Humanist,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010042,2026-07-28,
mv_0124,이것이 법이다,Out Of Justice,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010055,2026-07-28,
mv_0125,스무살,Twenty,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010045,2026-07-28,
mv_0126,캅링크,Cop Link,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010056,2026-07-28,
mv_0127,이유없는 반항,Rebel Without A Cause,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010054,2026-07-28,
mv_0128,천사의 시,The Angel'S Poem,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010012,2026-07-28,
