title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
오싹한연애,오싹한 연애,drama,57,21,11,8,그랜드 워커힐 서울(7) / 콘래드 서울(7) / 롯데호텔 제주(6) / 롯데백화점 일산점(4) / 제주신라호텔(3)
낭만닥터김사부3,낭만닥터 김사부 3 / 낭만닥터김사부3,drama,56,22,6,3,돌담병원(48) / 산정호수 둘레길(20) / 문화8구역(재개발지역)(2) / 쌀통닭 신천점(1) / 다락고개추어탕(1)
웰컴투삼달리,웰컴투 삼달리 / 웰컴투삼달리,drama,56,86,43,15,명월국민학교(12) / 광치기해변(11) / 비밀의숲(10) / 도두봉(9) / 세기알해변(9)
지옥에서온판사,지옥에서 온 판사,drama,56,100,30,15,삽교호놀이동산(11) / 히든캠프(8) / 광탄성당(8) / 카페낙타(6) / 기욤 청담점(5)
환혼,환혼,drama,56,19,16,13,쌍산재(16) / 성흥산성(가림성)(15) / 농월정(8) / 가산수피아(6) / 문경 선유동계곡(6)
김부장,김부장,drama,55,88,40,15,호텔리베라 거제(11) / 소낭구펜션(11) / 세람저축은행 본점(7) / SBS일산제작센터(6) / 정릉로8길(6)
동궁,동궁,drama,55,20,20,15,경복궁(13) / 도솔암(13) / 용인대장금파크(13) / 남사예담촌(12) / 광한루원(11)
극한직업,극한직업,movie,54,6,3,3,배다리헌책방거리(18) / 광양항(6) / 장항항(1) / 군산내항 부잔교(0) / 소통한우축산(0)
히말라야,히말라야,movie,54,1,0,1,쌍용C&E 영월공장(석회석 채석장)(0)
명량,명량,movie,53,9,4,4,울돌목(28) / 우수영국민관광지(12) / 청해포구촬영장(7) / 광양항 해양공원(3) / 고양아쿠아특수촬영스튜디오(0)
범죄도시2,범죄도시2,movie,53,8,3,3,월곡마트(4) / 인천항 연안부두(2) / NC백화점 광주점(1) / 국립광주과학관(0) / 국빈장례문화원(0)
중증외상센터,중증외상센터,drama,53,36,18,14,이대서울병원(23) / 베스티안병원(14) / 오송첨단의료산업진흥재단(8) / 용산역(8) / 페어몬트 앰배서더 서울(7)
판사이한영,판사 이한영 / 판사이한영,drama,53,128,31,14,장안대학교(8) / 선문대학교 천안캠퍼스(5) / 트레이드타워(5) / 잠수교(5) / 백빈건널목(5)
오징어게임2,오징어게임2,drama,52,48,28,15,탑골공원(15) / 종로구(12) / 카프리모텔(9) / 서울랜드(9) / 종각역(8)
더글로리,더 글로리 / 더글로리,drama,51,112,25,10,청라호수공원(청라원)(10) / 용화사(9) / 멍때림(8) / 세종호수공원(5) / 청주중앙공원(5)
슈룹,슈룹,drama,51,10,9,6,전주한옥마을(7) / 문경새재오픈세트장(7) / 용인대장금파크(7) / 창덕궁(낙선재·인정전)(6) / 전주향교(5)
유미의세포들3,유미의 세포들 3 / 유미의세포들3,drama,51,74,62,15,카페385(9) / 페이지37(9) / 칠링더데이(8) / 아난티 앳 부산 코브(8) / 보수동 책방골목(7)
조각도시,조각도시,drama,51,89,16,10,장흥교도소(5) / (구)광주교도소(3) / 인제 스피디움(2) / 마임비전빌리지(2) / 광탄성당(2)
한산용의출현,한산: 용의 출현,movie,51,4,1,3,흥국사(1) / 돌산진모지구 세트장(0) / 순천왜성(0) / 전라병영성(0)
힐러,힐러,drama,51,21,7,4,달링(the fab)(7) / 운보의 집(5) / 수암골 벽화마을(5) / 국립청주박물관(2) / 청남대 본관(1)
D.P.,D.P.,drama,50,5,0,3,부산 충무시설(광안동 지하벙커)(0) / 부천 까치울 부대(옛 61사단 177연대)(0) / 사창리터미널(0) / 영도구 영선미니아파트(0) / 울산대학교(0)
모범택시,모범택시,drama,49,15,2,3,비응항(3) / 쌍용반점(2) / BMW드라이빙센터(0) / SBS 일산제작센터(0) / 나로우주센터 우주과학관(0)
사이코지만괜찮아,사이코지만 괜찮아 / 사이코지만괜찮아,drama,49,26,7,7,시크릿블루카페(괜찮은병원)(24) / 사니다카페(저주받은 성)(20) / 아야진해변(14) / 소금산출렁다리(6) / 옥정호수공원(4)
해피니스,해피니스,drama,49,1,1,1,e편한세상 옥정 더 퍼스트(9)
북극성,북극성,drama,48,45,31,14,청와대(9) / 홍제유연(7) / 소월로(7) / 소월로(어반클리프쪽)(7) / 청남대(7)
관상,관상,movie,47,4,2,3,설매재자연휴양림(8) / 궁남지(6) / 고창읍성·맹종죽림(0) / 용문사(0)
