id,title,place_name,tier,유효언급_글수,저자수,popularity_score,근거_URL_상위3
st_02523,김부장,서울과학기술대학교 창학관,A,2,3,22.2,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/artkkk1/224350757022
st_02529,김부장,제물포시장,A,2,3,22.2,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/cheezes2/224336861993
st_02587,김부장,캐슬라콘티넨탈,A,2,3,22.2,https://blog.naver.com/zozodndn/224337018660 | https://blog.naver.com/buja1202/224328362037 | https://blog.naver.com/cheezes2/224336861993
st_02530,김부장,동남태권도장,A,2,2,22.2,https://blog.naver.com/buja1202/224328362037 | https://blog.naver.com/cheezes2/224336861993
st_02571,김부장,롯데프리미엄아울렛 의왕점,A,2,2,22.2,https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/buja1202/224328362037
st_02556,김부장,풀바리,A,2,2,22.2,https://blog.naver.com/fridaysol/224345130184 | https://blog.naver.com/ryu71s/224334664141
st_20315,김비서가 왜 그럴까,지혜의숲,S,4,4,100.0,https://blog.naver.com/gyeonggi_gov/221309422830 | https://blog.naver.com/yan8475/221332420411 | https://blog.naver.com/angelafox2/221316784056
st_20314,김비서가 왜 그럴까,한탄강 하늘다리,S,4,4,100.0,https://blog.naver.com/gyeonggi_gov/221309422830 | https://blog.naver.com/yan8475/221332420411 | https://blog.naver.com/tlsqhtjs20/224105609334
st_20316,김비서가 왜 그럴까,보정동 카페거리,A,2,2,50.0,https://blog.naver.com/govlrodtnr/224088520082 | https://blog.naver.com/dirch10/224203162580
st_20326,나빌레라,비맨션,S,10,10,100.0,https://blog.naver.com/truelite/222339987964 | https://blog.naver.com/tlstjsgud1/222759331883 | https://blog.naver.com/aesop77/222911201856
st_02899,나쁜엄마,한밤마을,S,14,14,100.0,https://blog.naver.com/gyeongbuk_official/223139839935 | https://blog.naver.com/daegu_news/223130570045 | https://blog.naver.com/micbae2/223093902655
st_02903,나쁜엄마,구미여자상업고,A,2,2,14.3,https://blog.naver.com/micbae2/223093902655 | https://blog.naver.com/redmee2/223110630728
st_20336,나쁜엄마,미래농원 MRNW,A,2,2,14.3,https://blog.naver.com/chlqhgus1107/223086307728 | https://blog.naver.com/wkaehfdl1/223125240576
st_20341,나의 아저씨,백빈건널목(삼각지 철길건널목),S,24,24,100.0,https://blog.naver.com/bk85219/221258793232 | https://blog.naver.com/joju1004/223343297755 | https://blog.naver.com/dxsuckit69/223347147126
st_02944,나의아저씨,철도건널목,S,12,12,50.0,https://blog.naver.com/bk85219/221258793232 | https://blog.naver.com/dxsuckit69/223347147126 | https://blog.naver.com/heeya_da/223310620989
st_20342,나의 아저씨,정희네(정희의 집·편의점),A,4,4,16.7,https://blog.naver.com/jsy9350/221267088918 | https://blog.naver.com/wxy77777/221292869187 | https://blog.naver.com/project_pop/224350503612
st_02943,나의아저씨,꼬꼬닭,A,3,5,12.5,https://blog.naver.com/ds1cvq/222784778172 | https://blog.naver.com/elliws/222768481522 | https://blog.naver.com/iamwinmir/221412100669
st_20347,나의 아저씨,정수사(강화),A,3,3,12.5,https://blog.naver.com/mimiiam/224344468762 | https://blog.naver.com/j2bmshop/224330498730 | https://blog.naver.com/travel_heehee/224264473636
st_02936,나의아저씨,한강대교,A,2,3,8.3,https://blog.naver.com/browniris7/222649385690 | https://blog.naver.com/zeckur/221458673613 | https://blog.naver.com/hari_bo/222336497979
st_03427,낭만닥터김사부3,돌담병원,S,46,41,100.0,https://blog.naver.com/soniatrip/224187323483 | https://blog.naver.com/zzus_diary/224188937248 | https://blog.naver.com/ainihs/224032747702
st_03428,낭만닥터김사부3,산정호수 둘레길,S,18,18,39.1,https://blog.naver.com/lele001/223068754553 | https://blog.naver.com/merci0804/223078659155 | https://blog.naver.com/subiaco09/224178850464
st_03436,낭만닥터김사부3,문화8구역(재개발지역),A,2,2,4.3,https://blog.naver.com/redmee2/223113661407 | https://blog.naver.com/7755qq/223930029994
st_03638,내남편과결혼해줘,T12,A,2,2,100.0,https://blog.naver.com/hsc_one1/223352948071 | https://blog.naver.com/redmee2/223356651906
st_03708,내남편과결혼해줘,교하정,A,2,2,100.0,https://blog.naver.com/hsc_one1/223345553872 | https://blog.naver.com/redmee2/223345874153
st_03730,내남편과결혼해줘,봄파머스가든,A,2,2,100.0,https://blog.naver.com/redmee2/223331434690 | https://blog.naver.com/hsc_one1/223330859381
st_03740,내남편과결혼해줘,옥천횟집,A,2,2,100.0,https://blog.naver.com/marsanna/223716398486 | https://blog.naver.com/hsc_one1/223345553872
st_03739,내남편과결혼해줘,중리항방파제등대,A,2,2,100.0,https://blog.naver.com/marsanna/223716398486 | https://blog.naver.com/hsc_one1/223345553872
st_03704,내남편과결혼해줘,지혜의숲,A,2,2,100.0,https://blog.naver.com/redmee2/223360573164 | https://blog.naver.com/parkbot1/223392441625
st_03698,내남편과결혼해줘,화적연,A,2,2,100.0,https://blog.naver.com/hsc_one1/223330859381 | https://blog.naver.com/redmee2/223362921776
mv_2032,내부자들,아소산 일산본점,A,2,2,100.0,https://blog.naver.com/ooooosol/220829477195 | https://blog.naver.com/szszsz79/220943075456
st_04187,눈물의여왕,일월수목원,S,20,20,100.0,https://blog.naver.com/greeny0_0/224309699215 | https://blog.naver.com/kgh4486/224293645725 | https://blog.naver.com/learning_tour/223401083494
st_20356,눈물의 여왕,용연리마을(용두리),S,19,13,95.0,https://blog.naver.com/lmykys/223580423258 | https://blog.naver.com/redmee2/223385606330 | https://blog.naver.com/lovej804/223391050233
st_04238,눈물의여왕,더현대대구,S,9,9,45.0,https://blog.naver.com/hsc_one1/223385819326 | https://blog.naver.com/riael1230/223383293496 | https://blog.naver.com/lemon_ning/223536189237
st_04198,눈물의여왕,연풍순교성지,S,9,9,45.0,https://blog.naver.com/sun022711/224250190116 | https://blog.naver.com/xblove0701/224061122503 | https://blog.naver.com/goesan-gun/223893346083
st_04205,눈물의여왕,왕림리,S,7,7,35.0,https://blog.naver.com/lovej804/223391050233 | https://blog.naver.com/suneveryday521/223418792516 | https://blog.naver.com/sinmunman/223419778929
st_04133,눈물의여왕,더현대서울,S,6,6,30.0,https://blog.naver.com/lovej804/223391050233 | https://blog.naver.com/riael1230/223383293496 | https://blog.naver.com/tlsqhtjs20/224067589653
st_04237,눈물의여왕,사유원,A,4,4,20.0,https://blog.naver.com/lovej804/223391050233 | https://blog.naver.com/telltrip/223418482704 | https://blog.naver.com/riael1230/223383293496
st_04155,눈물의여왕,우리옛돌박물관,A,4,4,20.0,https://blog.naver.com/lovej804/223391050233 | https://blog.naver.com/telltrip/223418482704 | https://blog.naver.com/riael1230/223383293496
st_04179,눈물의여왕,아쿠아플라넷 일산,A,3,3,15.0,https://blog.naver.com/telltrip/223418482704 | https://blog.naver.com/iamtheone_/223401968158 | https://blog.naver.com/hsc_one1/223422980768
st_20358,눈물의 여왕,가람마루 전망대(건지마을 전망대),A,2,2,10.0,https://blog.naver.com/redmee2/223415592316 | https://blog.naver.com/soh109/223418369449
st_04160,눈물의여왕,그랜드워커힐 애스톤하우스,A,2,2,10.0,https://blog.naver.com/telltrip/223418482704 | https://blog.naver.com/riael1230/223383293496
st_04197,눈물의여왕,내응새마을회관,A,2,2,10.0,https://blog.naver.com/redmee2/223386843124 | https://blog.naver.com/healthhappy012/223766467286
st_04232,눈물의여왕,문경에코월드,A,2,2,10.0,https://blog.naver.com/gowk83/224359648417 | https://blog.naver.com/hsc_one1/223422980768
st_04123,눈물의여왕,옹달샘 합정감자탕,A,2,2,10.0,https://blog.naver.com/hsc_one1/223385819326 | https://kgrimi.tistory.com/10
st_04283,뉴토피아,다소유,S,3,3,37.5,https://blog.naver.com/he_e715/223892583925 | https://blog.naver.com/datepop/223986500249 | https://blog.naver.com/nanagom308/223886573357
st_04298,뉴토피아,고속터미널역,A,2,2,25.0,https://blog.naver.com/eeeooot/223754415964 | https://blog.naver.com/terraodor/223805419038
st_04408,다이루어질지니,의림지,S,14,14,100.0,https://blog.naver.com/ena2009/224335313187 | https://blog.naver.com/algus6267/224318372179 | https://blog.naver.com/location_info/224033722337
st_04417,다이루어질지니,제천역,A,4,5,28.6,https://blog.naver.com/hsc_one1/224031054816 | https://blog.naver.com/sjeong0682/224046188935 | https://blog.naver.com/lala_pick/224035120601
st_04425,다이루어질지니,대통교,A,4,4,28.6,https://blog.naver.com/holicmu/224032747275 | https://blog.naver.com/location_info/224033722337 | https://blog.naver.com/hsc_one1/224031054816
st_04391,다이루어질지니,윤숙이네감자탕,A,3,4,21.4,https://blog.naver.com/holicmu/224032747275 | https://blog.naver.com/location_info/224033722337 | https://blog.naver.com/hsc_one1/224031054816
st_04423,다이루어질지니,공주중앙신협 본점,A,3,3,21.4,https://blog.naver.com/location_info/224033722337 | https://blog.naver.com/hsc_one1/224031054816 | https://blog.naver.com/holicmu/224033401859
st_04420,다이루어질지니,짱구네슈퍼,A,3,3,21.4,https://blog.naver.com/holicmu/224032747275 | https://blog.naver.com/hsc_one1/224031054816 | https://blog.naver.com/sjeong0682/224046188935
st_04441,다이루어질지니,합천영상테마파크,A,3,2,21.4,https://blog.naver.com/holicmu/224032747275 | https://blog.naver.com/hsc_one1/224031054816 | https://blog.naver.com/holicmu/224037678407
st_04410,다이루어질지니,뜰906,A,2,3,14.3,https://blog.naver.com/holicmu/224032747275 | https://blog.naver.com/location_info/224033722337 | https://blog.naver.com/hsc_one1/224031054816
st_04402,다이루어질지니,별마로천문대,A,2,3,14.3,https://blog.naver.com/hsc_one1/224031054816 | https://blog.naver.com/sjeong0682/224046188935 | https://blog.naver.com/yeonhewkim/224032825608
st_04397,다이루어질지니,수연목서,A,2,3,14.3,https://blog.naver.com/hsc_one1/224031054816 | https://blog.naver.com/softcarry/224098585661 | https://blog.naver.com/sjeong0682/224046188935
st_04379,다이루어질지니,남산타워,A,2,2,14.3,https://blog.naver.com/ejsung77/224049834605 | https://blog.naver.com/sjeong0682/224046188935
st_04421,다이루어질지니,부라다오피스텔,A,2,2,14.3,https://blog.naver.com/sjeong0682/224046188935 | https://blog.naver.com/holicmu/224033401859
st_04386,다이루어질지니,삼원가든,A,2,2,14.3,https://blog.naver.com/bladekwon/224031529640 | https://blog.naver.com/sjeong0682/224046188935
st_04390,다이루어질지니,인스파이어리조트,A,2,2,14.3,https://blog.naver.com/holicmu/224032747275 | https://blog.naver.com/hsc_one1/224031054816
st_04376,다이루어질지니,콘래드서울 37그릴앤바,A,2,2,14.3,https://blog.naver.com/location_info/224033722337 | https://blog.naver.com/ejsung77/224049834605
st_04382,다이루어질지니,하나로마트 창동점,A,2,2,14.3,https://blog.naver.com/location_info/224033722337 | https://blog.naver.com/ejsung77/224049834605
st_20092,달의연인-보보경심 려,월화원(수원 효원공원),S,9,9,100.0,http://blog.naver.com/cjo6070/220895213348 | http://blog.naver.com/iceurisu/221010325840 | http://blog.naver.com/inhee861127/221968552742
