place_name,place_address,naver_url,naver_lat,naver_lng,verdict
안성추모공원,경기 안성시 보개면 북가현리 산49-1,https://map.naver.com/p/entry/place/21393162,37.0983654,127.3461999,adopt
의림지,충북 제천시 모산동 241,https://map.naver.com/p/entry/place/34581389,37.1713527,128.2089123,adopt
제천역,충북 제천시 의림대로 1,https://map.naver.com/p/entry/place/11636737,37.1278716,128.2054533,adopt
대통교,충남 공주시 감영길 15,https://map.naver.com/p/entry/place/17694341,36.4527915,127.1232305,adopt
고마스토리,충남 공주시 감영길 21,https://map.naver.com/p/entry/place/1436188417,36.4529302,127.1235154,adopt
어린이대공원 정문,서울 광진구 능동로 216,https://map.naver.com/p/entry/place/2042283900,37.5512914,127.0760465,adopt
뚝섬유원지역,서울 광진구 자양동 854-3,https://map.naver.com/p/entry/place/1283169838,37.5327798,127.0678928,adopt
원효대교,서울 영등포구 여의동로 252,https://map.naver.com/p/entry/place/18999644,37.5271,126.9457887,adopt
김밥천국,서울 성동구 마장로 223,https://map.naver.com/p/entry/place/17897283,37.5663749,127.0347889,adopt
수정교회,인천 검단구 불로로 64,https://map.naver.com/p/entry/place/20243260,37.6139539,126.6790239,adopt
공촌4교,인천 서해구 로봇랜드로 473,https://map.naver.com/p/entry/place/38379622,37.5418319,126.6117954,adopt
송도32호공원,인천 연수구 송도동 80-12,https://map.naver.com/p/entry/place/1007704714,37.389324,126.6244479,adopt
시흥 거북섬,경기 시흥시 정왕동 2726,https://map.naver.com/p/entry/place/1059547629,37.3251335,126.676227,adopt
금광테크노벨리,경기 김포시 태장로 765,https://map.naver.com/p/entry/place/1179834958,37.6397893,126.6818276,adopt
일산시장,경기 고양시 일산서구 일청로8번길 9,https://map.naver.com/p/entry/place/13472004,37.6856312,126.7708515,adopt
능곡고등학교 후문,경기 고양시 덕양구 지도로80번길 14-7,https://map.naver.com/p/entry/place/19040648,37.6241278,126.8257986,adopt
명지령계곡펜션,강원 화천군 사내면 명지령로 228,https://map.naver.com/p/entry/place/30820608,38.0802586,127.5506207,adopt
엘리시안강촌리조트,강원 춘천시 남산면 북한강변길 688,https://map.naver.com/p/entry/place/11555876,37.821469,127.5902626,adopt
청주교대,충북 청주시 서원구 청남로 2065,https://map.naver.com/p/entry/place/21829244,36.6157884,127.4826618,adopt
솔빛초등학교,세종 반곡2길 21,https://map.naver.com/p/entry/place/1789004255,36.4958586,127.3124643,adopt
세종호수공원,세종 연기면 세종리 114-380,https://map.naver.com/p/entry/place/32449504,36.4991657,127.270145,adopt
인베이지,세종 집현동로 77,https://map.naver.com/p/entry/place/1005137633,36.4908073,127.3251446,adopt
아그레아블,서울 강남구 역삼로 110,https://map.naver.com/p/entry/place/2057977393,37.5092218,127.0362797,adopt
인천 자유공원,인천 제물포구 자유공원남로 51,https://map.naver.com/p/entry/place/1724343541,37.475139,126.6229175,adopt
송현근린공원,인천 제물포구 솔빛로54번길 1,https://map.naver.com/p/entry/place/38329186,37.4772703,126.6396261,adopt
인천대입구역,인천 연수구 인천타워대로 155,https://map.naver.com/p/entry/place/1163221869,37.3859539,126.6395916,adopt
테크노어린이공원,인천 연수구 송도동 7-32,https://map.naver.com/p/entry/place/848365509,37.3854503,126.650991,adopt
메밀향그집,서울 종로구 대학로11길 18,https://map.naver.com/p/entry/place/31751937,37.5823739,127.0006657,adopt
광화문,서울 종로구 사직로 161,https://map.naver.com/p/entry/place/13161322,37.5760259,126.9768428,adopt
인사동,서울 종로구 인사동길 53-2,https://map.naver.com/p/entry/place/13542782,37.5739818,126.9849358,adopt
부소담악,충북 옥천군 군북면 추소리 759,https://map.naver.com/p/entry/place/34581450,36.3514511,127.5647868,adopt
문경새재 조곡관,경북 문경시 문경읍 상초리 산 42-36,https://map.naver.com/p/entry/place/15393964,36.7893446,128.065685,adopt
완재정,경남 밀양시 부북면 위양로 273-36,https://map.naver.com/p/entry/place/34897954,35.5465703,128.716775,adopt
연세대학교 신촌캠퍼스,서울 서대문구 연세로 50,https://map.naver.com/p/entry/place/11591604,37.5671131,126.9390292,adopt
연남동주막(이전),서울 마포구 월드컵북로6길 56,https://map.naver.com/p/entry/place/1988636142,37.5585625,126.9188571,adopt
홍대레드로드,서울 마포구 잔다리로 16,https://map.naver.com/p/entry/place/1803390740,37.5494388,126.9206294,adopt
경기대학교 수원캠퍼스,경기 수원시 영통구 광교산로 154-42,https://map.naver.com/p/entry/place/11591483,37.3005585,127.0347398,adopt
전북대학교 전주캠퍼스,전북 전주시 덕진구 백제대로 567,https://map.naver.com/p/entry/place/11591627,35.8462574,127.1320049,adopt
아로미마실,전북 전주시 덕진구 백제대로 567,https://map.naver.com/p/entry/place/1883899392,35.8443867,127.1304281,adopt
동피랑벽화마을,경남 통영시 동피랑2길 23-5,https://map.naver.com/p/entry/place/13491714,34.8456851,128.4277537,adopt
미수동방파제,경남 통영시 미수해안로 53-1,https://map.naver.com/p/entry/place/37824316,34.830163,128.403487,adopt
묘우블랙,서울 용산구 독서당로29길 6,https://map.naver.com/p/entry/place/1226071726,37.5367838,127.0115872,adopt
썰스데이파티 이태원점,서울 용산구 이태원로27길 6,https://map.naver.com/p/entry/place/37322069,37.5349333,126.9917852,adopt
마트킹 구성점,경기 용인시 기흥구 용구대로 2426,https://map.naver.com/p/entry/place/1892523769,37.3029094,127.106468,adopt
구룡근린공원,서울 마포구 상암동 313-3,https://map.naver.com/p/entry/place/18808116,37.5829426,126.8835424,adopt
동작대교,서울 용산구 이촌동 356,https://map.naver.com/p/entry/place/18726869,37.510825,126.9819963,adopt
서울숲 거울연못,서울 성동구 성수동1가 720,https://map.naver.com/p/entry/place/18785647,37.5442393,127.0410469,adopt
뚝섬한강공원,서울 광진구 자양동 435,https://map.naver.com/p/entry/place/11491876,37.5292295,127.0707439,adopt
유니버설아트센터,서울 광진구 천호대로 664,https://map.naver.com/p/entry/place/18810818,37.5513161,127.0877514,adopt
