id,place_name,kakao_place_id,kakao_url,kakao_lat,kakao_lng,match_confidence,matched_name,matched_address
st_20614,래미안어반비스타아파트,1027182638,http://place.map.kakao.com/1027182638,37.4809212953,126.7630856639,high,래미안어반비스타아파트,경기 부천시 소사구 중동로 19
st_20615,단국대학교 죽전캠퍼스,836611712,http://place.map.kakao.com/836611712,37.321920308,127.1265921601,high,단국대학교 죽전캠퍼스,경기 용인시 수지구 죽전로 152
st_20616,삽교호놀이동산,143538080,http://place.map.kakao.com/143538080,36.8898430387,126.822629479,mid,삽교호놀이동산 은산희귀조각전시관,충남 당진시 신평면 삽교천3길 15
st_20617,포항 죽도시장,19449042,http://place.map.kakao.com/19449042,36.0363465099,129.3683886586,high,죽도시장,경북 포항시 북구 죽도시장13길 13-1
st_20618,여의도한강공원 물빛광장,867818456,http://place.map.kakao.com/867818456,37.5314573841,126.9269813204,mid,여의도한강공원 물빛무대앞광장,서울 영등포구 여의도동 83-6
st_20619,메종 드 플래터 스타시티서울,922073072,http://place.map.kakao.com/922073072,37.5422215096,127.1204630484,high,메종 드 플래터 스타 시티서울 레스토랑,서울 강동구 구천면로 140
st_20620,익산교도소세트장,11555705,http://place.map.kakao.com/11555705,36.0694515535,126.9306029888,high,익산 교도소 세트장,전북특별자치도 익산시 성당면 함낭로 207
st_20621,빠삐용Zip(옛 장흥교도소),,,,,low,,
st_20622,지노,10778615,http://place.map.kakao.com/10778615,37.8009080173,126.6867144496,high,지노,경기 파주시 탄현면 새오리로 211-17
st_20623,고바우(칼국수집),,,,,failed,,
st_20624,석형 집(밴드연습 장소),,,,,failed,,
st_20625,로사의 집,,,,,failed,,
st_20626,군부대(오음리),,,,,failed,,
st_20627,용마랜드,,,,,failed,,
st_20628,북악팔각정,8572077,http://place.map.kakao.com/8572077,37.6015902732,126.980658058,high,북악팔각정,서울 종로구 북악산로 267
st_20629,서울식물원,2034985788,http://place.map.kakao.com/2034985788,37.5681685037,126.8336182532,mid,서울식물원 주제원,서울 강서구 마곡동로 161
st_20630,경인미술관,8199463,http://place.map.kakao.com/8199463,37.5744206257,126.9854422144,high,경인미술관,서울 종로구 인사동10길 11-4
st_20631,봉산문화회관,18526397,http://place.map.kakao.com/18526397,35.8633579558,128.5965515825,high,봉산문화회관,대구 중구 봉산문화길 77
st_20632,쉴낙원 김포장례식장,8227394,http://place.map.kakao.com/8227394,37.6071448008,126.715410253,high,쉴낙원 김포장례식장,경기 김포시 승가로58번길 7
st_20633,덕릉로 698 앞 횡단보도,,,,,failed,,
st_20634,중계동 156-29 일대 골목·인도,,,,,failed,,
st_20635,문학산 청학동 등산로 입구,,,,,low,,
st_20636,헌화로,26952674,http://place.map.kakao.com/26952674,37.6530443111,129.0523677061,high,헌화로슈퍼,강원특별자치도 강릉시 옥계면 헌화로 461
st_20637,옥계해변,8015552,http://place.map.kakao.com/8015552,37.6284000359,129.0495239332,high,옥계해변,강원특별자치도 강릉시 옥계면 금진솔밭길 148-3
st_20638,금진항,11017236,http://place.map.kakao.com/11017236,37.652530463,129.0522855769,high,금진항,강원특별자치도 강릉시 옥계면 금진리 124-52
st_20639,정동진,1995540275,http://place.map.kakao.com/1995540275,37.6914301325,129.0326895737,high,정동진역,강원특별자치도 강릉시 강동면 정동역길 17
st_20640,가든갤러리 팔당덕소본점,8113534,http://place.map.kakao.com/8113534,37.5878576038,127.1740895796,mid,가든갤러리,경기 남양주시 강변북로632번길 57-28
st_20641,춘천송암스포츠타운 주경기장,17124506,http://place.map.kakao.com/17124506,37.855930438,127.6909643136,high,춘천송암스포츠타운 주경기장,강원특별자치도 춘천시 스포츠타운길 136
st_20642,리븐델게스트하우스,1756209832,http://place.map.kakao.com/1756209832,37.7026240837,127.5166791594,high,리븐델게스트하우스,경기 가평군 청평면 고재길 262-46
st_20643,인천국제공항 제1여객터미널,1731865578,http://place.map.kakao.com/1731865578,37.4491741658,126.4509203233,high,인천국제공항 제1여객터미널,인천 영종구 공항로 272
st_20644,한양대학교 ERICA캠퍼스,11318845,http://place.map.kakao.com/11318845,37.2964379196,126.8351660042,high,한양대학교 ERICA캠퍼스,경기 안산시 상록구 한양대학로 55
st_20645,e편한세상 송도,27377253,http://place.map.kakao.com/27377253,37.4114627223,126.6174400594,high,e편한세상송도아파트,인천 연수구 랜드마크로 113
st_20646,저스트코타워,1778408764,http://place.map.kakao.com/1778408764,37.5066268121,127.054313827,high,저스트코타워 주차장,서울 강남구 테헤란로 431
st_20647,콘코디언빌딩,1008489023,http://place.map.kakao.com/1008489023,37.5697260865,126.9731456279,high,콘코디언빌딩,서울 종로구 새문안로 76
st_20648,아트센터 인천,27043248,http://place.map.kakao.com/27043248,37.3932416117,126.6262146149,high,아트센터 인천,인천 연수구 아트센터대로 222
st_20649,코코에르 밤리단길카페점,1651803256,http://place.map.kakao.com/1651803256,37.6712759131,126.7828120566,high,코코에르 밤리단길카페점,경기 고양시 일산동구 일산로380번길 63-38
st_20650,노량진로32길 계단길,,,,,failed,,
st_20651,노량진 주택(강하리집),,,,,failed,,
st_20652,스테이트타워 남산,15094918,http://place.map.kakao.com/15094918,37.5602205974,126.9829459505,high,스테이트타워 남산,서울 중구 퇴계로 100
st_20653,도봉산,8259558,http://place.map.kakao.com/8259558,37.6988420639,127.0154585932,high,도봉산,서울 도봉구 도봉동 산 31
st_20654,불암산 애기봉,458106395,http://place.map.kakao.com/458106395,37.6608147811,127.1018139304,high,애기봉,경기 남양주시 식송1로 236-31
st_20655,양심장어 강남도곡점,1613636106,http://place.map.kakao.com/1613636106,37.485685249,127.0444108637,high,양심장어 강남도곡점,서울 강남구 남부순환로 2728
st_20656,삼양체육과학공원,,,,,failed,,
st_20657,서울중앙지방법원,8364878,http://place.map.kakao.com/8364878,37.4961816229,127.0119190392,high,서울중앙지방법원,서울 서초구 서초중앙로 157
st_20658,오크우드 프리미어 코엑스센터,27169901,http://place.map.kakao.com/27169901,37.5110453303,127.0581185303,high,오크우드프리미어 코엑스센터,서울 강남구 테헤란로87길 46
st_20659,더링크서울 트리뷰트 포트폴리오 호텔,869232764,http://place.map.kakao.com/869232764,37.5054920779,126.88395026,high,더링크서울 트리뷰트포트폴리오호텔,서울 구로구 경인로 610
st_20660,의정부교도소,,,,,failed,,
st_20661,영화빌딩 경동전기상사 상가건물,,,,,failed,,
st_20662,장승백이 상가,24037517,http://place.map.kakao.com/24037517,37.4456619778,126.7358332547,high,장승백이상가,인천 남동구 장승로 25
st_20663,카페 릴리블랑,25044342,http://place.map.kakao.com/25044342,37.4776207019,127.0381563618,high,카페릴리블랑,서울 서초구 양재천로19길 52
st_20664,로이터 커피 셸터,,,,,failed,,
st_20665,와인컬렉터 삼성점,,,,,failed,,
st_20666,여유도예공방,699659853,http://place.map.kakao.com/699659853,34.7792220396,127.7453044879,mid,여유도예공방,전남광주통합특별시 여수시 만성리길 53
st_20667,삽교호놀이동산,143538080,http://place.map.kakao.com/143538080,36.8898430387,126.822629479,mid,삽교호놀이동산 은산희귀조각전시관,충남 당진시 신평면 삽교천3길 15
st_20668,3917마중,849000646,http://place.map.kakao.com/849000646,35.0335789475,126.7107757543,mid,39-17마중,전남광주통합특별시 나주시 향교길 42-16
st_20669,울산대학교,11359943,http://place.map.kakao.com/11359943,35.5437883322,129.2570149103,mid,울산대학교,울산 남구 대학로 93
