place_name,place_address,photo_url,status
창동3길,충남 보령시 남포면 창동리 640-6,,no_photo
백산고등학교,전북 부안군 백산면 백산로 379,,no_photo
수북초등학교,전남광주통합특별시 담양군 수북면 추성1로 714,,no_photo
가은고등학교,경북 문경시 가은읍 가은로 205,,no_photo
우리마트,서울 강서구 개화2길 3-11,,no_photo
팬엔터테인먼트 사옥,서울 마포구 월드컵북로58길 10,,no_photo
한강대로7길,서울 용산구 한강대로7길 30-12,,no_photo
새창로49길 지하도,서울 용산구 새창로 157-1,,no_photo
성지초등학교,인천 계양구 아나지로247번길 8,,no_photo
하남경찰서,경기 하남시 검단로 27,,no_photo
서정리 장례식장,경기 평택시 정암로 78-14,,no_photo
약령길,충남 공주시 약령길,,no_photo
비손빌딩,서울 강남구 언주로 733,,no_photo
거화빌딩,서울 서대문구 신촌로 73,,no_photo
금세기빌딩,서울 중구 무교로 6,,no_photo
평창40길,서울 종로구 평창동 411-5,,no_photo
평창7길,서울 종로구 평창7길 89,,no_photo
윤빌딩,서울 서초구 서초대로74길 3,,no_photo
양지골로,부산 남구 양지골로 200,,no_photo
동남빌딩,서울 노원구 노해로77길 14-7,,no_photo
동방그린빌라,서울 성북구 장월로11길 53-10,,no_photo
더사보르,서울 성북구 화랑로19길 20-1,,no_photo
참농,서울 마포구 망원로11길 29,,no_photo
이태리타올,서울 마포구 와우산로3길 47,,no_photo
CU 마포망원점,서울 마포구 월드컵로31길 11,,no_photo
히든바이크,서울 영등포구 도림로141다길 20,,no_photo
충무로5길,서울 중구 을지로3가 320-2,,no_photo
천호대로91길,서울 동대문구 장한로2길 63,,no_photo
청라한내로,인천 서해구 청라동 76-7,,no_photo
청라한내로162번길,인천 서해구 청라한내로162번길 7,,no_photo
장미아파트,경기 남양주시 진접읍 장현로147번길 13,,no_photo
자혜로(1),경기 성남시 중원구 자혜로 3,,no_photo
자혜로(2),경기 성남시 중원구 금빛로 101,,no_photo
산성대로372번길,경기 성남시 중원구 광명로 299,,no_photo
광명로,경기 성남시 중원구 광명로 365,,no_photo
산성대로,경기 성남시 수정구 산성대로 539,,no_photo
공원로,경기 성남시 수정구 공원로 391,,no_photo
시럽,경기 이천시 대월면 대산로288번길 75,,no_photo
탄현로(1),경기 평택시 탄현로 315-1,,no_photo
탄현로(2),경기 평택시 탄현로 262,,no_photo
우성세라믹스공업,경기 평택시 포승읍 서둔물길 30-34,,no_photo
서대전지구대,대전 중구 중앙로 14,,no_photo
옛장흥교도소,전남광주통합특별시 장흥군 장흥읍 원도리 191,,no_photo
성산로22길,서울 서대문구 성산로22길 22,,no_photo
인천강화경찰서,인천 강화군 강화읍 동문안길 17,,no_photo
부흥로,경기 양주시 만송동 712,,no_photo
가르텐비어 광명철산점,경기 광명시 오리로856번길 14,,no_photo
수원천로392번길,경기 수원시 장안구 연무동 189-11,,no_photo
경수대로743번길,경기 수원시 장안구 경수대로743번길 64,,no_photo
아야진소길,강원 고성군 토성면 아야진소길 29,,no_photo
마도길(2),충남 태안군 근흥면 신진도리 233-20,,no_photo
마도길,충남 태안군 근흥면 마도길 154-1,,no_photo
금강공원길,충남 공주시 금강공원길 5,,no_photo
동일슈퍼,인천 제물포구 월미로 26-1,,no_photo
새창로49길,서울 용산구 새창로 157-1,,no_photo
삼부조명,서울 용산구 청파로 101,,no_photo
화신유통,서울 용산구 청파로 91,,no_photo
송림로61번길,인천 제물포구 송림로61번길 32,,no_photo
약산길,경기 고양시 일산동구 약산길 10-5,,no_photo
거북섬로,경기 시흥시 거북섬로 163,,no_photo
여의나루로2길,서울 영등포구 여의도동 3-7,,no_photo
새마을로3599번길,경북 포항시 북구 죽장면 새마을로 3619-7,,no_photo
신일철물상회,경북 포항시 북구 죽장면 새마을로 3619-5,,no_photo
해안로2626번길,경북 포항시 북구 송라면 해안로2626번길 47,,no_photo
청하로192번길,경북 포항시 북구 청하면 청하로192번길 5-8,,no_photo
청하로175번길(1),경북 포항시 북구 청하면 청하로151번길 20-22,,no_photo
청하로175번길(2),경북 포항시 북구 청하면 미남리 428-3,,no_photo
곡강초등학교,경북 포항시 북구 흥해읍 칠포로 7,,no_photo
해안로,경북 포항시 북구 흥해읍 해안로 1773,,no_photo
기계파출소,경북 포항시 북구 기계면 기계로 92-11,,no_photo
새마을발상지길113번길,경북 포항시 북구 기계면 문성리 702-4,,no_photo
해안로(4),경북 포항시 북구 환호동 480-3,,no_photo
죽도시장(2),경북 포항시 북구 죽도시장길 13,,no_photo
서동로,경북 포항시 북구 신흥동 678-28,,no_photo
대신로30번길,경북 포항시 북구 대신로30번길 10-2,,no_photo
희망대로,경북 포항시 남구 희망대로 1171-1,,no_photo
대해웰빙마트,경북 포항시 남구 문예로 139,,no_photo
유강유치원,경북 포항시 남구 연일읍 유강길9번길 60,,no_photo
호미로,경북 포항시 남구 호미곶면 대동배리 산 26-8,,no_photo
해맞이로46번길,경북 포항시 남구 호미곶면 대보리 53-7,,no_photo
호미로,경북 포항시 남구 구룡포읍 구룡포리 954-32,,no_photo
동해안로3261번길,경북 포항시 남구 장기면 동해안로 3261,,no_photo
양포항길,경북 포항시 남구 장기면 양포항길 54,,no_photo
희망디젤,서울 영등포구 영등포동2가 94-135,,no_photo
노원경찰서,서울 노원구 노원로 283,,no_photo
명다방,서울 서대문구 통일로 107-15,,no_photo
리븐델하우스,경기 가평군 청평면 고재길 262-46,,no_photo
경기동로186번길,경기 오산시 부산동 790,,no_photo
마곡중앙14로,서울 강서구 마곡중앙14로 22,,no_photo
증산로13가길(1),서울 은평구 증산동 131-167,,no_photo
증산로13가길(2),서울 은평구 증산로13가길 13,,no_photo
증산로13가길(3),서울 은평구 증산로13가길 16-1,,no_photo
희우정로,서울 마포구 희우정로15길 1,,no_photo
광신빌딩,서울 서대문구 신촌로 93,,no_photo
서강로,서울 마포구 노고산동 112-12,,no_photo
경인로94길,서울 영등포구 경인로94길 9-7,,no_photo
매봉18길,서울 성동구 금호동2가 산 9-14,,no_photo
너와집노래방,인천 제물포구 차이나타운로52번길 11,,no_photo
월드고양로,경기 고양시 일산동구 월드고양로 138-1,,no_photo
신도공영주차장,경기 고양시 덕양구 지축동 766-11,,no_photo
우봉집 위례,경기 성남시 수정구 위례서일로1길 8-6,,no_photo
사랑마트,경기 성남시 수정구 태평로108번길 8-1,,no_photo
미래산업 잭,서울 구로구 신도림로15길 21-9,,no_photo
삼진기업주변,서울 구로구 신도림로15길 20,,no_photo
영등포경찰서,서울 영등포구 국회대로 608,,no_photo
영등포경찰서앞,서울 영등포구 국회대로 608,,no_photo
영등포로,서울 영등포구 영등포로 379-1,,no_photo
영등포로67가길,서울 영등포구 영등포로79길 9,,no_photo
영등포로79가길,서울 영등포구 영등포로79가길 12,,no_photo
노량진로26길,서울 동작구 노량진로26길 57,,no_photo
효창원로69길,서울 용산구 효창원로69길 15,,no_photo
중대로 횡단보도,서울 송파구 중대로 192,,no_photo
거마로7길,서울 송파구 거마로7길 44,,no_photo
오랑1길 육교,대전 서구 대신2길 49,,no_photo
육교앞,대전 서구 대신2길 49,,no_photo
남대문시장2길,서울 중구 남창동 51-8,,no_photo
종로24길,서울 종로구 종로 150,,no_photo
자하문로2길,서울 종로구 통의동 37-4,,no_photo
성덕정17길,서울 성동구 성덕정17길 8-1,,no_photo
책마을 광주점,경기 광주시 중앙로145번길 25,,no_photo
서정리장례식장,경기 평택시 정암로 78-14,,no_photo
세종대로12길,서울 중구 태평로2가 71,,no_photo
동교로29길,서울 마포구 동교로39길 11,,no_photo
성산로22길,서울 서대문구 창천동 89-19,,no_photo
혜화경찰서,서울 종로구 창경궁로 112-16,,no_photo
삼청로2길,서울 종로구 삼청로2길 37-1,,no_photo
북촌로12길,서울 종로구 북촌로12길 24-1,,no_photo
볼링장 정류장,서울 종로구 창덕궁1길 13,,no_photo
풍년식품 앞,서울 종로구 창덕궁길 127,,no_photo
창덕궁로5길,서울 종로구 창덕궁5길 9,,no_photo
삼선교로4길,서울 성북구 삼선교로4길 63,,no_photo
삼양로141길(1),서울 강북구 삼양로141길 14,,no_photo
개포로116길,서울 강남구 개포로116길 19,,no_photo
인하대학교 하이데거의숲,인천 미추홀구 소성로 71,,no_photo
만화속으로,경기 의정부시 평화로542번길 7,,no_photo
일산로636번길,경기 고양시 일산서구 일산로636번길 37-7,,no_photo
수정부동산,경기 고양시 일산동구 일산로372번길 63,,no_photo
