id,place_name,search_key,naver_url,naver_lat,naver_lng,confidence,matched_name
st_10230,거북섬로,거북섬로,https://map.naver.com/p/entry/place/401141219,37.3208803,126.679745,mid,거북섬로
st_10232,위례 지웰푸르지오앞,위례지웰푸르지오,https://map.naver.com/p/entry/place/37374405,37.4816044,127.1489327,coord,위례지웰푸르지오
st_10234,단국대학교 죽전캠퍼스 법정관,단국대학교,,,,failed,
st_10278,여의도환승센터 횡단보도,여의도환승센터,https://map.naver.com/p/entry/place/34975485,37.5259892,126.9240591,mid,여의도환승센터
st_10280,여의나루로,여의나루로,https://map.naver.com/p/entry/place/19690407,37.5222087,126.9271891,mid,여의나루로4길
st_10282,여의나루로2길,여의나루로2길,https://map.naver.com/p/entry/place/19689782,37.5190212,126.9243693,mid,여의나루로2길
st_10284,동작대교,동작대교,https://map.naver.com/p/entry/place/18726869,37.5108249,126.9819963,mid,동작대교
st_10292,종합운동장역2번출구,종합운동장,https://map.naver.com/p/entry/place/11622958,37.5148022,127.0736261,mid,잠실종합운동장
st_10293,종합운동장역1번출구,종합운동장,https://map.naver.com/p/entry/place/11622958,37.5148022,127.0736261,mid,잠실종합운동장
st_10302,새마을로3599번길,새마을로3599번길,https://map.naver.com/p/entry/place/19595171,36.1612792,129.09475,high,새마을로3599번길
st_10307,해안로2626번길,해안로2626번길,https://map.naver.com/p/entry/place/19601422,36.2204515,129.3857609,high,해안로2626번길
st_10309,청하로192번길,청하로192번길,https://map.naver.com/p/entry/place/19599467,36.1967955,129.3409993,high,청하로192번길
st_10310,청하로175번길(1),청하로175번길,https://map.naver.com/p/entry/place/19599560,36.194825,129.3347563,high,청하로175번길
st_10311,청하로175번길(2),2,,,,failed,
st_10316,해안로,해안로1732번길,https://map.naver.com/p/entry/place/19595269,36.1534208,129.400125,mid,해안로1732번길
st_10319,새마을발상지길113번길,새마을발상지길11번길,https://map.naver.com/p/entry/place/1084095863,36.0690601,129.2048157,mid,새마을발상지길11번길
st_10322,해안로(4),해안로441번길,https://map.naver.com/p/entry/place/19600696,36.0723686,129.405176,mid,해안로441번길
st_10325,청포도다방(폐업),청포도다방,https://map.naver.com/p/entry/place/2051761280,36.0391647,129.3676183,coord,문화경작소 청포도다방
st_10329,시장칼국수,시장칼국수,,,,failed,
st_10332,서동로,서동로,,,,failed,
st_10335,대신로30번길,대신로30번길,https://map.naver.com/p/entry/place/15704887,36.0467299,129.369353,mid,대신로30번길
st_10339,희망대로,희망대로,,,,failed,
st_10347,호미로,호미로,,,,failed,
st_10349,해맞이로46번길(1),해맞이로46번길,https://map.naver.com/p/entry/place/19603947,36.0652458,129.5724563,high,해맞이로46번길
st_10350,해맞이로46번길,해맞이로46번길,https://map.naver.com/p/entry/place/19603947,36.0652458,129.5724563,high,해맞이로46번길
st_10351,해맞이로46번길(3),해맞이로46번길,https://map.naver.com/p/entry/place/19603947,36.0652458,129.5724563,mid,해맞이로46번길
st_10353,땅끝황토펜션야영장,땅끝황토팬션,https://map.naver.com/p/entry/place/30868387,36.0193089,129.581738,coord,땅끝황토펜션오토캠핑
st_10359,구룡포길,구룡포길,https://map.naver.com/p/entry/place/19603973,35.990692,129.5610403,high,구룡포길
st_10363,호미로,호미로,,,,failed,
st_10367,동해안로3261번길,동해안로3261번길,https://map.naver.com/p/entry/place/34146615,35.8791958,129.5167977,high,동해안로3261번길
st_10369,양포항길,양포항길,https://map.naver.com/p/entry/place/19602559,35.8819333,129.5222375,high,양포항길
