title,category,matched_title,year,director,poster_url,status
응답하라1988,drama,응답하라 1988,2015,신원호,https://image.tmdb.org/t/p/w500/lZo7G1kEU70PHP1dCe46I0cUKiF.jpg,ok
이번생도잘부탁해,drama,이번 생도 잘 부탁해,2023,Lee Na-jeong,https://image.tmdb.org/t/p/w500/wwONBdVG7wNm7wVD07aQTZuJGXu.jpg,ok
이상한변호사우영우,drama,이상한 변호사 우영우,2022,유인식,https://image.tmdb.org/t/p/w500/yv57TccCkgdy3St7rspBPKROeRK.jpg,ok
이재곧죽습니다,drama,لعبة الموت,2013,Laith Hijo;Samer Al Barkawi,https://image.tmdb.org/t/p/w500/eDeDjLq8t58GY4kxunwOPvmJXTg.jpg,ok
이태원클라쓰,drama,이태원 클라쓰,2020,Kim Seong-yoon,https://image.tmdb.org/t/p/w500/2tTMci6Hq99gkagpYe19RulNXRr.jpg,ok
작은아씨들,drama,작은 아씨들,2017,Vanessa Caswill,https://image.tmdb.org/t/p/w500/6qzMhtTyNwpaAthrAbojojfHWrs.jpg,ok
조각도시,drama,조각도시,2025,Park Shin-woo;김창주,https://image.tmdb.org/t/p/w500/pwin3qnVXs9tD3nU5hkl70wO1dx.jpg,ok
조립식가족,drama,조립식 가족,2022,Kwak Jeong-eun;Kim Jae-hee;Lee Ye-jin;Im Myung-soo;Kim Young-jin;Lee Min-jung;Lee Hye-jin,https://image.tmdb.org/t/p/w500/8jwU4uGJAAoDSoqJSntCZpjz5RO.jpg,ok
중증외상센터,drama,중증외상센터,2025,Lee Do-yoon,https://image.tmdb.org/t/p/w500/yCjhV8ss6L6wTezkhq5F5TIiyV4.jpg,ok
지금거신전화는,drama,지금 거신 전화는,2024,Wi Deuk-gyoo;Park Sang-woo,https://image.tmdb.org/t/p/w500/bF7gq73IpLMQLCcLTom6fqiKDhv.jpg,ok
지금우리학교는,drama,지금 우리 학교는,2022,Kim Nam-su;JQ Lee,https://image.tmdb.org/t/p/w500/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,ok
지옥에서 온 판사,drama,지옥에서 온 판사,2024,박진표,https://image.tmdb.org/t/p/w500/4rZfFtluuNbBnj2ziadDVaiDZMl.jpg,ok
참교육,drama,참교육,2026,홍종찬,https://image.tmdb.org/t/p/w500/bUsdsCTUUrqd1l9MZFgiJRypQG1.jpg,ok
초콜릿,drama,초콜릿,2019,이형민,https://image.tmdb.org/t/p/w500/lo9m03N7xfa56wYN58DlDdWcOjC.jpg,ok
친애하는X,drama,친애하는 X,2025,이응복;Park So-hyun,https://image.tmdb.org/t/p/w500/9eTQfA8lC4027DrG0PBvEBVRKuM.jpg,ok
캐셔로,drama,캐셔로,2025,Lee Chang-min,https://image.tmdb.org/t/p/w500/SB3HbQAqQGWJTV1J5U10aXNXdU.jpg,ok
키스는괜히해서,drama,키스는 괜히 해서!,2025,김재현,https://image.tmdb.org/t/p/w500/tuEbKYEdNZopNWoKhWpftSYgJVC.jpg,ok
