geonameid,official_rr,hangul,feature_class,feature_code,latitude,longitude,variant,variant_type,is_historic,same_name_diff_spelling
1832339,Yeongpung,Yŏngp’ung / 영풍 / 용풍,P,PPL,34.39194,126.70861,Eihō,other_variant,,
1832339,Yeongpung,Yŏngp’ung / 영풍 / 용풍,P,PPL,34.39194,126.70861,Eihō-ri,other_variant,,
1832339,Yeongpung,Yŏngp’ung / 영풍 / 용풍,P,PPL,34.39194,126.70861,Eungpung,other_variant,,
1832339,Yeongpung,Yŏngp’ung / 영풍 / 용풍,P,PPL,34.39194,126.70861,Yŏgp’ung-ni,MR,,
1832339,Yeongpung,Yŏngp’ung / 영풍 / 용풍,P,PPL,34.39194,126.70861,Yŏngp’ung-ni,MR,,
1832339,Yeongpung,Yŏngp’ung / 영풍 / 용풍,P,PPL,34.39194,126.70861,Yŏnp’ung,MR,,
1832342,Hogye-ri,호계리,L,LCTY,34.63944,126.79611,Hoge-ri,other_variant,,
1832342,Hogye-ri,호계리,L,LCTY,34.63944,126.79611,Hogye,other_variant,,
1832342,Hogye-ri,호계리,L,LCTY,34.63944,126.79611,Kokei-ri,other_variant,,
1832342,Hogye-ri,호계리,L,LCTY,34.63944,126.79611,Yongp’o-ri,MR,,
1832344,Yongdong,Yŏngdong / 영동,P,PPL,34.66877,127.26624,Yŏngdong-ni,MR,,
1832344,Yongdong,Yŏngdong / 영동,P,PPL,34.66877,127.26624,Yŏngo-ri,MR,,
1832345,Renkoku-ri,Yŏn’gong-ni / 연곡리,P,PPL,34.52,126.49861,Yŏn’gok,MR,,
1832348,Yongok-myon,,A,ADMD,37.83333,128.66667,Renkoku-men,other_variant,,
1832348,Yongok-myon,,A,ADMD,37.83333,128.66667,Yŏngong-myŏn,MR,,
1832349,Yeongokcheon,연곡천,H,STM,37.86583,128.84833,Yŏn’gok-ch’ŏn,MR,,
1832350,Yŏn’gok,,P,PPL,36.85,126.25,Yŏngong-ri,MR,,
1832350,Yŏn’gok,,P,PPL,36.85,126.25,Yŏn’gong-ni,MR,,
1832351,Yŏn’gok,,P,PPL,35.2,127.61667,Ch’ugok,MR,,
1832352,Yeongok,연곡,P,PPL,34.9954,126.8607,Yŏn’gok,MR,,
1832355,Yongneung,Yongnŭng-ni / 용능 / 용능리,P,PPL,34.8835,127.35988,Chuyong-ni,other_variant,,
1832355,Yongneung,Yongnŭng-ni / 용능 / 용능리,P,PPL,34.8835,127.35988,Ch’wiryong-ni,MR,,
1832355,Yongneung,Yongnŭng-ni / 용능 / 용능리,P,PPL,34.8835,127.35988,Yongnŭng,MR,,
1832356,Yongnimcheon,용림천,H,STM,35.54086,127.52019,Yongnim-ch’ŏn,MR,,
1832359,Yeongni,역리,P,PPL,36.04812,126.69132,Yŏng-ni,MR,,
1832361,Yeongnangho,영랑호,H,LK,38.21811,128.58145,Yŏngnang-ho,MR,,
1832364,Yongmun-san,龍門山 / 용문산,T,MT,37.5618,127.5484,Ryūmon-san,other_variant,,
1832364,Yongmun-san,龍門山 / 용문산,T,MT,37.5618,127.5484,Ryūmon-zan,other_variant,,
1832366,Yongmul-li,용문리,L,LCTY,34.78638,127.07264,Yongmun-ni,other_variant,,
1832367,Yongmun,용문,P,PPL,35.05233,127.20205,Yongmul-li,other_variant,,
1832368,Yongmeori,,P,PPL,36.40214,126.79144,Yongdu-ri,other_variant,,
1832368,Yongmeori,,P,PPL,36.40214,126.79144,Yongmŏ-ri,MR,,
1832369,Yongmeori,,P,PPL,35.62273,127.50435,Sambong-ni,other_variant,,
1832369,Yongmeori,,P,PPL,35.62273,127.50435,Yongmŏ-ri,MR,,
1832370,Yongmeori,용머리,P,PPL,34.94197,126.98712,Yongdu-ri,other_variant,,
1832370,Yongmeori,용머리,P,PPL,34.94197,126.98712,Yongmŏri,MR,,
1832372,Yeongmok,영목,P,PPL,36.40053,126.42404,Reikō,other_variant,,
1832372,Yeongmok,영목,P,PPL,36.40053,126.42404,Yonggong,other_variant,,
1832372,Yeongmok,영목,P,PPL,36.40053,126.42404,Yŏnghang,MR,,
1832372,Yeongmok,영목,P,PPL,36.40053,126.42404,Yŏngmok,MR,,
1832374,Eibai-san,Yŏngma-san / 영마산,T,MT,34.61417,126.55944,Yŏngmae-san,MR,,
1832375,Yongmari,,P,PPLL,36.38974,126.75353,Yongm-ri,other_variant,,
1832376,Yeongmando,역만도,T,ISL,34.17484,127.35458,Chŏngman-do,MR,,
1832376,Yeongmando,역만도,T,ISL,34.17484,127.35458,Ekiman-tō,other_variant,,
1832376,Yeongmando,역만도,T,ISL,34.17484,127.35458,Farmer Island,other_variant,,
1832376,Yeongmando,역만도,T,ISL,34.17484,127.35458,Yokuman To,other_variant,,
1832376,Yeongmando,역만도,T,ISL,34.17484,127.35458,Yŏman-do,MR,,
1832376,Yeongmando,역만도,T,ISL,34.17484,127.35458,Yŏngman-do,MR,,
1832377,Yŏng-mal,,P,PPL,36.7705,126.4299,Yŏng-ni,MR,,
1832378,Yŏng-mal,,P,PPL,36.6864,126.7935,Yŏkch’on,MR,,
1832379,Yongkkot,용꽃,P,PPL,36.16242,127.06779,Sang-ni,other_variant,,
